"season","prob1","prob2","prob3","prob4","factor","errFactor","seePen","successPerc"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"A",0.612524938057357,0.501806914733015,0.498403811918171,0.501806914733015,0.9,-2,0.024,0.777777777777778
"B",0.63990441978764,0.552040450673907,0.550211798926703,0.542954473615208,0.9,-2,0.024,0.714285714285714
"C",0.644558313842276,0.567440488330347,0.628361642043634,0.592390164529972,0.9,-2,0.024,0.666666666666667
"D",0.595421831385384,0.529587271819492,0.524350977393602,0.529587271819492,0.9,-2,0.024,0.666666666666667
"E",0.624896634915207,0.540410516070353,0.611715577305358,0.540410516070353,0.9,-2,0.024,0.746031746031746
"F",0.624189180687838,0.545693954215901,0.541535013825596,0.545693954215901,0.9,-2,0.024,0.71875
"G",0.648744250502096,0.57280422713167,0.638137283878541,0.57280422713167,0.9,-2,0.024,0.703125
"H",0.644382268107698,0.539145356018822,0.535215576264247,0.539145356018822,0.9,-2,0.024,0.6875
"I",0.629668460293909,0.518113545807916,0.516784085588752,0.522637704459143,0.9,-2,0.024,0.734375
"J",0.604348294979802,0.513588141763911,0.509868080849622,0.513588141763911,0.9,-2,0.024,0.703125
"K",0.636047941050276,0.555511835656988,0.551445891391767,0.559535583187785,0.9,-2,0.024,0.65625
"L",0.593366230645891,0.443245641846178,0.442915831025436,0.437783739986557,0.9,-2,0.024,0.8125
"M",0.582719744334557,0.48572772341056,0.480242818730874,0.504637674704651,0.9,-2,0.024,0.75
"N",0.62594691114363,0.501900379109876,0.498068196084934,0.534242334962964,0.9,-2,0.024,0.703125
"O",0.631867666409338,0.548642008172049,0.547942374510891,0.548642008172049,0.9,-2,0.024,0.6875
"P",0.654806173571489,0.610505904274911,0.668891175883082,0.590097344865152,0.9,-2,0.024,0.656716417910448
"Q",0.638738476686813,0.58573374072936,0.634428569759656,0.58573374072936,0.9,-2,0.024,0.716417910447761
"R",0.633874202569748,0.597791903217035,0.659918210829702,0.615043790035316,0.9,-2,0.024,0.656716417910448
